Meet|Level|Date|Results|Meet Url
Optimus Lift, Laugh, Love Open|Local|2023-08-12|10|5969
2023 Ok Summer Slam|Local|2023-08-12|19|5970
Strength Tank - in house Summer|Local|2023-08-12|7|5981
Tommy Kono XVII Championships|Local|2023-08-06|34|5964
The Praelium 2023|Local|2023-08-06|193|5967
Divion ave invitational|Local|2023-08-06|12|5968
The Iron Game Open 2023|Local|2023-08-06|21|5979
The Indy Open 2023|Local|2023-08-05|45|5972
Southwest Open|Local|2023-08-05|64|5962
2023 Strength Works BIG ENERGY Weightlifting Competition|Local|2023-08-05|20|5973
Country Strong Summer Classic|Local|2023-08-05|9|5965
2023 July Online Qualifier Presented by WODProof - B|Local|2023-07-31|1|5978
2023 July Online Qualifier Presented by WODProof|Local|2023-07-31|18|5959
Vaughn Weightlifting Summer Open|Local|2023-07-29|28|5960
Rocky Mountain StateGames|Local|2023-07-29|46|5961
2nd Annual Steve Sakoulas Summer Open|Local|2023-07-29|54|5966
Heros Vs Villians|Local|2023-07-29|14|6055
The Battle for Brooklyn|Local|2023-07-29|24|5956
2023 South Dakota Weightlifting State Championships & Open|Local|2023-07-29|22|5957
The 13th Annual Canusa|Local|2023-07-23|42|5954
2023 Mavrik Summer Classic|Local|2023-07-23|127|5955
MO Valley Camp Competition|Local|2023-07-23|11|5958
Intrepid Athletics Summer Open|Local|2023-07-22|11|5951
Heroic mid summer showdown|Local|2023-07-22|29|5952
95East Barbell Summer Classic|Local|2023-07-22|14|5963
2023 Max's Gym Open|Local|2023-07-16|77|5940
No Matter What Apparel Lift Off|Local|2023-07-16|21|5941
Bay State Games|Local|2023-07-16|103|5942
MASS Mania: Round Three (2023)|Local|2023-07-16|18|5953
Canadian Masters Weightlifting Championships|International|2023-07-16|4|6145
Attitude Nation Summer Open|Local|2023-07-15|31|5943
July In-House Meet|Local|2023-07-15|4|5944
Bham Slam 2023|Local|2023-07-15|38|5945
2023-Nashville Weightlifting Club Battle of the Champions|Local|2023-07-15|47|5946
2023 Armor Championship|Local|2023-07-15|26|5947
Barbell Collective TWO|Local|2023-07-15|38|5948
MATT DAVIS MEMORIAL|Local|2023-07-15|21|5949
2023 Tough Temple Open|Local|2023-07-09|93|5950
Sunflower State Games|Local|2023-07-09|42|5937
North Houston Summer Open|Local|2023-07-08|9|5936
Strong Summer Classic|Local|2023-07-08|38|5938
Samantha Love Adaptive NAOF Qualifier|Local|2023-07-06|1|5934
The 2023 Nike National Youth Championships, powered by Rogue|National|2023-07-02|820|5929
The 2023 Nike National Junior Championships, powered by Rogue|National|2023-07-02|255|5930
The 2023 Nike National Under 23 Championships, powered by Rogue|National|2023-07-02|109|5931
The 2023 Nike National Under 25 Championships, powered by Rogue|National|2023-07-02|192|5932
The 2023 Nike USA Weightlifting National Championships, powered by Rogue|National|2023-07-02|309|5933
2023 June Online Qualifier Presented by WODProof|Local|2023-06-30|18|5935
2023 USA Weightlifting New Jersey Novice Liftoff|Local|2023-06-25|27|5939
Eminence Barbell Weightlifting Meet|Local|2023-06-24|27|5928
Old Dominion Classic 2023|Local|2023-06-18|65|5922
2023 Grand Prix 1|International|2023-06-18|20|5925
Third Pull Weightlifting Meet|Local|2023-06-17|42|5923
PFP (PR)ide Weightlifting Meet|Local|2023-06-17|9|5924
2023 Texas Barbell Summer Classic|Local|2023-06-17|65|5926
Five Rings Gaiden|Local|2023-06-17|15|5927
Storm Summer Slam 2023|Local|2023-06-11|42|5921
Summer Slam|Local|2023-06-10|18|5919
Midnight Sun Open|Local|2023-06-10|19|5920
Adirondack Series II|Local|2023-06-04|8|5911
2023 California North Central WSO Championships|Local|2023-06-04|104|5917
2023 Murder of Crows Open|Local|2023-06-04|111|5907
2023 Athletic Lab Weightlifting Summer Classic|Local|2023-06-03|35|5908
Yank & Yeet 2023|Local|2023-06-03|30|5910
Bar Wars|Local|2023-06-03|52|5912
Louisiana State Championship|Local|2023-06-03|29|5914
Hudson Valley Regional Open|Local|2023-06-03|37|5916
The Lifts of the Summer|Local|2023-06-03|11|5906
Wyoming Weightlifting Open|Local|2023-06-03|23|5918
