title,date,location,meet url id,old weight classes
EUROPEAN U 23 CHAMPIONSHIPS,"Nov 20, 2010","Limassol, CYP",?event_id=125,true
2010 ASIAN GAMES,"Nov 12, 2010","Guangzhou, CHN",?event_id=129,true
XXVI. SIMON BOLIVAR CUP,"Nov 10, 2010","Valencia, VEN",?event_id=131,true
CRIOLLO CUP AND IBEROAMERICAN CUP,"Oct 25, 2010","Caguas, PUR",?event_id=122,true
V. MEDITERRANEAN CUP,"Oct 22, 2010","Bormla, MLT",?event_id=120,true
COMMONWEALTH GAMES,"Oct 03, 2010","Delhi, IND",?event_id=117,true
78th MEN's and 21st WOMEN's WORLD CHAMPIONSHIPS,"Sep 16, 2010","Antalya, TUR",?event_id=116,true
LAUGARICIO CUP,"Sep 03, 2010","Trencin, SVK",?event_id=133,true
1st YOUTH OLYMPIC GAMES,"Aug 14, 2010","Singapore, SIN",?event_id=107,true
2010 AFRICAN CHAMPIONSHIPS,"Aug 02, 2010","Yaounde, CMR",?event_id=119,true
2nd FISU WORLD UNIVERSITY CHAMPIONSHIPS,"Jul 01, 2010","Taichung, TPE",?event_id=98,true
36th MEN's and 16th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,"Jun 11, 2010","Sofia, BUL",?event_id=93,true
2010 PAN AMERICAN CHAMPIONSHIPS,"May 25, 2010","Guatemala, GUA",?event_id=105,true
IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE,"May 18, 2010","Valencia, ESP",?event_id=86,true
OCEANIA SENIOR CHAMPIONSHIPS,"May 04, 2010","Suva, FIJ",?event_id=83,true
OCEANIA JUNIOR CHAMPIONSHIPS,"May 04, 2010","Suva, FIJ",?event_id=84,true
OCEANIA YOUTH CHAMPIONSHIPS,"May 04, 2010","Suva, FIJ",?event_id=85,true
IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA,"Apr 20, 2010","Chiclayo, PER",?event_id=78,true
ASIAN JUNIOR CHAMPIONSHIPS,"Apr 12, 2010","Tashkent, UZB",?event_id=113,true
12th ASIAN YOUTH WEIGHTLIFTING CHAMPIONSHIPS,"Apr 08, 2010","Tashkent, UZB",?event_id=73,true
PAN-AMERICAN JUNIOR CHAMPIONSHIPS,"Apr 06, 2010","Quito, ECU",?event_id=76,true
EUROPEAN CHAMPIONSHIPS,"Apr 02, 2010","Minsk, BLR",?event_id=72,true
AFRICAN JUNIOR CHAMPIONSHIPS,"Mar 21, 2010","KAIRO, EGY",?event_id=75,true
AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,"Mar 21, 2010","CAIRO, EGY",?event_id=74,true
2011 IWF GRAND PRIX - PRESIDENT'S CUP,"Dec 17, 2011","Belgorod, RUS",?event_id=198,true
"""LONDON PREPARES"" INTERNATIONAL INVITATIONAL","Dec 10, 2011","London, GBR",?event_id=196,true
PAN ARAB GAMES,"Dec 09, 2011","Doha, QAT",?event_id=201,true
ASIAN INTER-CLUB JUNIOR CHAMPIONSHIPS,"Nov 25, 2011","Tashkent, UZB",?event_id=199,true
ASIAN INTER-CLUB CHAMPIONSHIPS,"Nov 25, 2011","Tashkent, UZB",?event_id=194,true
26TH SOUTHEAST ASIAN (SEA) GAMES,"Nov 11, 2011","Palembang, INA",?event_id=192,true
2011 IWF WORLD CHAMPIONSHIPS,"Nov 04, 2011","Paris, FRA",?event_id=190,true
2011 PAN AMERICAN GAMES,"Oct 23, 2011","Guadalajara, MEX",?event_id=189,true
2011 COMMONWEALTH CHAMPIONSHIPS,"Oct 10, 2011","Cape Town, RSA",?event_id=180,true
2011 COMMONWEALTH JUNIOR CHAMPIONSHIPS,"Oct 10, 2011","Cape Town, RSA",?event_id=179,true
2011 COMMONWEALTH YOUTH CHAMPIONSHIPS,"Oct 10, 2011","Cape Town, RSA",?event_id=178,true
2011 AFRICAN SENIOR CHAMPIONSHIPS,"Oct 10, 2011","Cape Town,  RSA",?event_id=177,true
4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL,"Oct 08, 2011","Subotica, SRB",?event_id=181,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Sep 10, 2011","Bucharest, ROU",?event_id=183,true
